comparison_id,task,category,prompt_id,budget,mode,num_subtasks,num_skipped,tier_fast,tier_verify,tier_deep,planner_cost,pyrrhus_cost,baseline_cost,pyrrhus_quality,pyrrhus_relevance,pyrrhus_completeness,pyrrhus_coherence,pyrrhus_conciseness,baseline_quality,baseline_relevance,baseline_completeness,baseline_coherence,baseline_conciseness,pyrrhus_word_count,pyrrhus_ttr,pyrrhus_compression,pyrrhus_ngram_rep,pyrrhus_avg_sent_len,pyrrhus_fillers,baseline_word_count,baseline_ttr,baseline_compression,baseline_ngram_rep,baseline_avg_sent_len,baseline_fillers,cost_savings_pct,quality_delta
efca31e9-b7da-4bc6-87ee-a5cb14bf1991,"Compose an engaging travel blog post about a recent trip to Hawaii, highlighting cultural experiences and must-see attractions.",writing,44067482,0.02,capped,4,0,1,3,0,0.0001584,0.004118,0.00508875,9.0,9.0,9.0,9.0,8.0,8.0,8.0,7.0,9.0,9.0,4010,0.2766,0.3599,0.1565,25.87,0,377,0.5517,0.5615,0.0163,17.14,0,19.08,1.0
4895a702-ab94-404d-ba22-bb31f744f1bd,"Compose an engaging travel blog post about a recent trip to Hawaii, highlighting cultural experiences and must-see attractions.",writing,44067482,0.04,capped,4,0,1,3,0,0.0002154,0.00389085,0.01332875,9.0,9.0,9.0,9.0,8.0,10.0,10.0,10.0,10.0,9.0,3594,0.315,0.3843,0.0721,17.11,0,966,0.4793,0.499,0.0181,16.95,0,70.81,-1.0
20a43fee-3db6-4cb2-9224-6324bd5fe2a5,"Compose an engaging travel blog post about a recent trip to Hawaii, highlighting cultural experiences and must-see attractions.",writing,44067482,0.08,capped,3,0,1,2,0,0.0001578,0.00289575,0.01298875,8.0,8.0,9.0,9.0,8.0,9.0,9.0,9.0,9.0,8.0,2957,0.256,0.3011,0.378,21.43,0,952,0.4884,0.5029,0.0139,19.83,0,77.71,-1.0
22572751-1558-463c-8cc0-3771707412e6,"Compose an engaging travel blog post about a recent trip to Hawaii, highlighting cultural experiences and must-see attractions.",writing,44067482,0.16,capped,4,0,0,3,1,0.0002028,0.02069,0.01487875,8.0,9.0,9.0,8.0,8.0,9.0,9.0,9.0,9.0,8.0,3417,0.2464,0.2997,0.5183,23.09,0,1071,0.4809,0.5031,0.0104,16.48,0,-39.06,-1.0
14f470ad-3124-4dca-9307-bfe544f6317a,"Draft a professional email seeking your supervisor's feedback on the 'Quarterly Financial Report' you prepared. Ask specifically about the data analysis, presentation style, and the clarity of conclusions drawn. Keep the email short and to the point.",writing,49723273,0.02,capped,3,0,3,0,0,0.00017175,0.00039625,0.00409,9.0,10.0,10.0,10.0,8.0,9.0,10.0,10.0,10.0,8.0,286,0.3881,0.3968,0.2476,16.82,0,272,0.5,0.5003,0.0551,17.0,0,90.31,0.0
ebf45f99-3510-4bfb-9c07-59fcbb93dca5,"Draft a professional email seeking your supervisor's feedback on the 'Quarterly Financial Report' you prepared. Ask specifically about the data analysis, presentation style, and the clarity of conclusions drawn. Keep the email short and to the point.",writing,49723273,0.04,capped,3,0,2,1,0,0.00014175,0.00029915,0.00334,10.0,10.0,10.0,10.0,10.0,9.0,10.0,10.0,10.0,9.0,166,0.3554,0.3581,0.53,15.09,0,220,0.5182,0.4939,0.0693,13.75,0,91.04,1.0
3a027d28-c23c-477b-9576-8c43795ae7d4,"Draft a professional email seeking your supervisor's feedback on the 'Quarterly Financial Report' you prepared. Ask specifically about the data analysis, presentation style, and the clarity of conclusions drawn. Keep the email short and to the point.",writing,49723273,0.08,capped,4,0,3,1,0,0.00019695,0.0003985,0.00383,7.0,7.0,7.0,7.0,7.0,9.0,10.0,10.0,10.0,8.0,177,0.3559,0.337,0.7368,17.7,0,256,0.543,0.5121,0.0328,18.29,0,89.6,-2.0
4fdf2aa5-b15b-4c6c-aa44-c470bef3293e,"Draft a professional email seeking your supervisor's feedback on the 'Quarterly Financial Report' you prepared. Ask specifically about the data analysis, presentation style, and the clarity of conclusions drawn. Keep the email short and to the point.",writing,49723273,0.16,capped,3,0,2,1,0,0.00017595,0.000295,0.00377,8.0,8.0,7.0,8.0,9.0,9.0,10.0,10.0,10.0,8.0,101,0.4257,0.4388,0.3857,14.43,0,251,0.5378,0.5003,0.0508,17.93,0,92.18,-1.0
d00be058-9d62-42fc-8cea-50e1549cc33b,"Imagine you are writing a blog post comparing two popular smartphone models. Develop an outline for the blog post, including key points and subheadings to effectively compare and contrast the features, performance, and user experience of the two models. Please answer in fewer than 200 words.",writing,72595869,0.02,capped,3,0,1,2,0,0.0001797,0.00068835,0.00321125,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,337,0.6766,0.5157,0.0213,56.17,0,166,0.6807,0.5517,0.0061,7.9,0,78.56,0.0
1c86e20a-c494-4641-9969-27f7d6190543,"Imagine you are writing a blog post comparing two popular smartphone models. Develop an outline for the blog post, including key points and subheadings to effectively compare and contrast the features, performance, and user experience of the two models. Please answer in fewer than 200 words.",writing,72595869,0.04,capped,3,0,2,1,0,0.0001737,0.0008326,0.00345125,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,571,0.5184,0.4255,0.052,10.77,0,188,0.6862,0.5764,0.0,8.17,0,75.88,0.0
6e706fc8-a079-4f98-8db4-610b4bf46dc6,"Imagine you are writing a blog post comparing two popular smartphone models. Develop an outline for the blog post, including key points and subheadings to effectively compare and contrast the features, performance, and user experience of the two models. Please answer in fewer than 200 words.",writing,72595869,0.08,capped,3,0,1,2,0,0.0001761,0.00081105,0.00344125,10.0,10.0,10.0,10.0,9.0,10.0,10.0,10.0,10.0,10.0,435,0.5287,0.4243,0.0746,10.36,0,188,0.6649,0.5718,0.0164,8.17,0,76.43,0.0
c6a843b9-d1de-4cd7-9555-efd5c5d8dee9,"Imagine you are writing a blog post comparing two popular smartphone models. Develop an outline for the blog post, including key points and subheadings to effectively compare and contrast the features, performance, and user experience of the two models. Please answer in fewer than 200 words.",writing,72595869,0.16,capped,3,0,2,1,0,0.0001719,0.0006913,0.00322125,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,377,0.5915,0.4583,0.0246,10.47,0,169,0.6805,0.5862,0.0,8.05,0,78.54,0.0
c70df777-3ea9-49e7-a4a1-d395be87ac78,"Write a persuasive email to convince your introverted friend, who dislikes public speaking, to volunteer as a guest speaker at a local event. Use compelling arguments and address potential objections. Please be concise.",writing,9147946,0.02,capped,3,0,0,3,0,0.00015315,0.0013311,0.00277,8.0,8.0,9.0,9.0,7.0,9.0,9.0,9.0,9.0,9.0,1122,0.3948,0.412,0.0261,19.34,1,209,0.5694,0.5782,0.0147,12.29,0,51.95,-1.0
df9a7101-beac-44eb-8824-2f3ace84ea3d,"Write a persuasive email to convince your introverted friend, who dislikes public speaking, to volunteer as a guest speaker at a local event. Use compelling arguments and address potential objections. Please be concise.",writing,9147946,0.04,capped,3,0,0,3,0,0.00015255,0.00117525,0.00204,8.0,8.0,9.0,9.0,8.0,9.0,9.0,8.0,9.0,9.0,1025,0.3815,0.425,0.0345,19.71,0,146,0.6644,0.6181,0.007,16.22,0,42.39,-1.0
52a472ae-ef99-4cde-9391-ed5bdba4569f,"Write a persuasive email to convince your introverted friend, who dislikes public speaking, to volunteer as a guest speaker at a local event. Use compelling arguments and address potential objections. Please be concise.",writing,9147946,0.08,capped,3,0,0,3,0,0.00018435,0.00102255,0.0023,9.0,9.0,9.0,9.0,8.0,9.0,9.0,9.0,9.0,9.0,915,0.3792,0.4041,0.1609,22.88,0,176,0.5966,0.5903,0.0,13.54,0,55.54,0.0
250b5879-8b71-4063-875a-e9e3026c48e9,"Write a persuasive email to convince your introverted friend, who dislikes public speaking, to volunteer as a guest speaker at a local event. Use compelling arguments and address potential objections. Please be concise.",writing,9147946,0.16,capped,3,0,0,2,1,0.00013935,0.0042991,0.00234,6.0,5.0,5.0,8.0,7.0,9.0,9.0,9.0,9.0,9.0,747,0.4632,0.449,0.0221,14.65,1,177,0.6215,0.5967,0.0057,12.64,0,-83.72,-3.0
3c469b3b-7d0d-480e-b418-ca2d502e5b43,"Describe a vivid and unique character, using strong imagery and creative language. Please answer in fewer than two paragraphs.",writing,3075696,0.02,capped,2,0,0,2,0,0.0001434,0.00037815,0.00261875,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,240,0.6375,0.5181,0.0171,30.0,0,214,0.6262,0.5627,0.0,30.57,0,85.56,0.0
c6c0be77-4e0d-43bb-94bb-de51912ca5f4,"Describe a vivid and unique character, using strong imagery and creative language. Please answer in fewer than two paragraphs.",writing,3075696,0.08,capped,2,0,0,2,0,0.0001368,0.00039465,0.00255875,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,278,0.6439,0.5317,0.0148,30.89,0,210,0.6429,0.5576,0.0,26.25,0,84.58,0.0
9991a0f9-a8dc-429d-9294-a71451ec03c0,"Describe a vivid and unique character, using strong imagery and creative language. Please answer in fewer than two paragraphs.",writing,3075696,0.16,capped,1,0,0,0,1,7.5e-05,0.0022525,0.00250875,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,173,0.6879,0.5684,0.0,24.71,0,193,0.6943,0.5699,0.0053,24.12,0,10.21,0.0
fa6a954c-b85a-495b-8534-db59892aba62,"Write a descriptive paragraph about a bustling marketplace, incorporating sensory details such as smells, sounds, and visual elements to create an immersive experience for the reader.",writing,38622539,0.02,capped,3,0,0,3,0,0.0001716,0.00093075,0.00194875,10.0,10.0,10.0,10.0,9.0,10.0,10.0,10.0,10.0,10.0,702,0.406,0.3673,0.2533,16.71,0,156,0.6987,0.5838,0.0,39.0,0,52.24,0.0
